Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Koeleria macrantha,Common Names: Prairie Junegrass,Grasses,0.7 - 2.3 ft tall1 ft wide,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","4.9"" - 113.6""","0.14"" - 4.39""","Full Sun,  Part Shade,  Full Shade",Very Low,Tolerates a variety of soils. Soil PH: 5.0 - 8.0," 17.5"" - 56.7"""," 36.3"" - 84.4""",Tolerates cold to -15° F,"0.12"" - 35.52""","1"" - 14243""","Deer Resistant, Butterfly Gardens","Yellow,  Brown",Very Easy,2737,https://static.inaturalist.org/photos/3021942/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Koeleria-macrantha-(Junegrass)?srchcr=sc61ab02a5119b0"
Ranunculus californicus,Common Names: Common Buttercup,Perennial Herb,0.6 - 2.3 ft tall6 in wide,,"6.3"" - 87.4""","0.14"" - 3.00""","Part Shade, Full Sun","Moderate - High, Low",Adaptable. Soil PH: 5 - 8," 27.0"" - 56.0"""," 50.0"" - 84.0""",Tolerates cold to 10° F,"0.07"" - 34.82""","-293"" - 8087""",Bee Gardens,Yellow,Very Easy,5278,https://inaturalist-open-data.s3.amazonaws.com/photos/809331/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ranunculus-californicus-(California-Buttercup)?srchcr=sc61ab02a5119b0"
Solanum umbelliferum,,Shrub,3.3 ft tall3 ft wide,,"3.1"" - 117.4""","0.14"" - 3.91""","Full Sun,  Part Shade",Very Low,"Tolerates a variety of soils. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.5 - 7.5"," 17.9"" - 58.8"""," 38.4"" - 87.6""",Tolerates cold to 0° F,"0.03"" - 43.55""","-247"" - 14460""","Deer Resistant, Bird Gardens","Blue,  Lavender,  Purple,  Yellow",Moderately Easy,2517,https://inaturalist-open-data.s3.amazonaws.com/photos/10297/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Solanum-umbelliferum-(Bluewitch-Nightshade)?srchcr=sc61ab02a5119b0"
Populus trichocarpa,"Botanical Names: Populus balsamifera ssp. trichocarpa,Populus balsamiferaCommon Names: Balsam Poplar",Tree,30 - 100 ft tall25 - 30 ft wide,,"5.4"" - 117.1""","0.14"" - 3.57""",Full Sun,Moderate - High,Well draining," 17.9"" - 56.5"""," 38.4"" - 79.4""",,"0.23"" - 28.34""","-228"" - 14460""","Bird Gardens, Butterfly Gardens","Green,  Yellow",Very Easy,6385,https://static.inaturalist.org/photos/19455945/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Populus-trichocarpa-(Black-Cottonwood)?srchcr=sc61ab02a5119b0"
Juncus mexicanus,,Grasses,0.33 - 2.6 ft tall,,"2.8"" - 110.0""","0.14"" - 3.75""",Part Shade,Moderate - High,Tolerates any soil as long as adequate moisture is present. Soil PH: 5.0 - 8.0," 20.1"" - 60.6"""," 44.6"" - 88.6""",Tolerates cold to 15° F,"0.46"" - 45.66""","2"" - 10996""",,"Green,  Brown",,95,https://inaturalist-open-data.s3.amazonaws.com/photos/369147/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Juncus-mexicanus-(Mexican-Rush)?srchcr=sc61ab02a5119b0"
Eleocharis macrostachya,"Common Names: Creeping Spike Rush, Pale Spike-rush, Pale Spikerush, Wire Grass",Grasses,1.6 - 3.3 ft tall,,"3.1"" - 88.1""","0.14"" - 3.26""",Full Sun,Moderate - High,Tolerates any saturated or inundated soil. Soil PH: 5.5 - 7.0," 21.3"" - 59.2"""," 49.7"" - 89.2""",Tolerates cold to -10° F,"0.24"" - 40.50""","-127"" - 8889""",Bird Gardens,Brown,,211,https://inaturalist-open-data.s3.amazonaws.com/photos/142730/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eleocharis-macrostachya-(Common-Spikerush)?srchcr=sc61ab02a5119b0"
Schoenoplectus californicus,Botanical Names: Scirpus californicusCommon Names: California Tule,Grasses,6 - 12 ft tall,,"3.4"" - 47.1""","0.17"" - 1.46""",Full Sun,Moderate - High,Tolerates any saturated or inundated soil. Soil PH: 5.0 - 9.0," 41.6"" - 61.6"""," 60.1"" - 88.7""",Tolerates cold to 20° F,"0.28"" - 42.78""","-13"" - 4858""","Bogs and Ponds, Deer Resistant",Brown,,2110,https://inaturalist-open-data.s3.amazonaws.com/photos/20111501/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Schoenoplectus-californicus-(California-Bulrush)?srchcr=sc61ab02a5119b0"
Cyperus eragrostis,"Common Names: Nutsedge, Tall Cyperus",Grasses,3 ft tall30 ft wide,,"2.6"" - 90.5""","0.15"" - 2.51""",Full Sun,Moderate - High,Tolerates a variety of soils. Soil PH: 5.0 - 8.0," 38.4"" - 59.1"""," 57.7"" - 88.0""",Tolerates cold to 15° F,"0.01"" - 38.29""","-42"" - 5105""",Bogs and Ponds,"Green,  Yellow",,5479,https://static.inaturalist.org/photos/78081573/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cyperus-eragrostis-(Tall-Flatsedge)?srchcr=sc61ab02a5119b0"
Limonium californicum,"Common Names: California Sea Lavender, California Sealavender, Western Marsh-rosemary",Perennial herb,1 - 2 ft tall1 - 2 ft wide,,"9.4"" - 46.1""","0.17"" - 1.42""",Full Sun,Moderate - High,Adaptable. Tolerates Saline Soil," 46.0"" - 56.6"""," 57.0"" - 77.4""",Tolerates cold to 25 - 30° F,"0.38"" - 21.44""","-23"" - 1433""",Bogs and Ponds,"Blue,  Lavender,  White,  Brown",Moderately Easy,827,https://inaturalist-open-data.s3.amazonaws.com/photos/145011/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Limonium-californicum-(Western-Marsh-Rosemary)?srchcr=sc61ab02a5119b0"
Eriogonum cinereum,Common Names: Coastal Buckwheat,Shrub,2 - 4 ft tall3 - 5 ft wide,,"11.4"" - 39.3""","0.14"" - 1.97""",Full Sun,"Extremely Low, Very Low",Adaptable. Soil PH: 6 - 8," 35.4"" - 56.6"""," 61.1"" - 77.0""",Tolerates cold to 15 - 25° F,"0.93"" - 23.07""","-25"" - 8222""","Bird Gardens, Butterfly Gardens, Bee Gardens","Brown,  Yellow",Moderately Easy,1124,https://inaturalist-open-data.s3.amazonaws.com/photos/48707/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriogonum-cinereum-(Ashyleaf-Buckwheat)?srchcr=sc61ab02a5119b0"
Frankenia salina,"Botanical Names: Frankenia grandifloraCommon Names: Alkali Seaheath, Alkali-heath, Yerba Reuma",Perennial herb,1 ft tall,,"3.2"" - 47.0""","0.12"" - 1.53""",Full Sun,Moderate - High,Prefers sand or sandstone. Soil PH: 6.0 - 9.0," 37.5"" - 59.7"""," 58.1"" - 88.0""",Tolerates cold to 25° F,"0.01"" - 43.78""","-59"" - 6109""",Groundcovers,"Pink,  White",Moderately Easy,2613,https://inaturalist-open-data.s3.amazonaws.com/photos/14182/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Frankenia-salina-(Alkali-Heath)?srchcr=sc61ab02a5119b0"
Euthamia occidentalis,"Common Names: Western Flat-topped Goldenrod, Western Goldenrod",Perennial herb,3.5 - 7 ft tall,,"4.2"" - 77.9""","0.15"" - 2.32""",Full Sun,Moderate - High,Tolerant of a variety of garden soils as long as sufficient moisture is available," 28.3"" - 60.1"""," 58.3"" - 88.2""",,"0.11"" - 40.89""","-253"" - 6806""",,"Yellow,  Green",,1214,https://inaturalist-open-data.s3.amazonaws.com/photos/27994139/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Euthamia-occidentalis-(Western-Goldentop)?srchcr=sc61ab02a5119b0"
Symphoricarpos mollis,"Botanical Names: Symphoricarpos acutus,Symphoricarpos hesperiusCommon Names: Southern California Snowberry, Trailing Snowberry, Trip Vine",Shrub,,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)']","11.1"" - 152.2""","0.14"" - 5.80""",Part Shade,Very Low,Tolerates a variety of soils," 22.9"" - 57.0"""," 45.1"" - 78.8""",,"0.14"" - 26.18""","13"" - 11042""","Bank Stabilization, Groundcovers, Bird Gardens, Butterfly Gardens, Bee Gardens",Pink,,2382,https://inaturalist-open-data.s3.amazonaws.com/photos/20054412/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Symphoricarpos-mollis-(Creeping-Snowberry)?srchcr=sc61ab02a5119b0"
Ribes malvaceum var. viridifolium,,Shrub,6 ft tall,,"9.3"" - 41.9""","0.15"" - 2.18""","Full Sun,  Part Shade",Low,Tolerant of a variety of soils as long as long as adequate drainage is provided," 39.6"" - 56.5"""," 65.8"" - 83.3""",,"0.91"" - 34.12""","7"" - 5719""","Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Red",Moderately Easy,1582,https://static.inaturalist.org/photos/14110702/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ribes-malvaceum-var.-viridifolium-(Chaparral-Currant)?srchcr=sc61ab02a5119b0"
Juncus bufonius,Common Names: Common Toad Rush,Grasses,1 ft tall,,"4.0"" - 93.4""","0.13"" - 2.93""",Full Sun,Moderate - High,Tolerant of a variety of garden soils as long as sufficient moisture is available. Soil PH: 5.6 - 8.0," 20.3"" - 60.4"""," 46.8"" - 87.2""",Tolerates cold to -10° F,"0.01"" - 40.37""","-253"" - 10562""",,Green,Moderately Easy,2201,https://inaturalist-open-data.s3.amazonaws.com/photos/62222498/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Juncus-bufonius-(Toad-Rush)?srchcr=sc61ab02a5119b0"
Ericameria palmeri,,Shrub,3 - 13 ft tall3 - 10 ft wide,,"7.2"" - 33.1""","0.14"" - 2.45""",Full Sun,"Extremely Low, Very Low",Adaptable," 33.5"" - 57.0"""," 61.0"" - 82.8""",,"0.70"" - 33.55""","20"" - 7419""",Bird Gardens,Yellow,,341,https://inaturalist-open-data.s3.amazonaws.com/photos/2101043/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ericameria-palmeri-(Palmer\'s-Goldenbush)?srchcr=sc61ab02a5119b0"
Clarkia purpurea,"Common Names: Winecup Clarkia, Winecup Fairyfan",Annual herb,3.3 ft tall1 ft wide,,"5.9"" - 133.4""","0.14"" - 3.85""",Full Sun,Low,Adaptable. Soil PH: 6.0 - 7.5," 29.9"" - 57.7"""," 55.4"" - 83.7""",Tolerates cold to 5° F,"0.02"" - 33.99""","-3814"" - 7897""","Butterfly Gardens, Bee Gardens","Lavender,  Pink,  Purple,  Red",Moderately Easy,4839,https://inaturalist-open-data.s3.amazonaws.com/photos/12650408/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Clarkia-purpurea-(Purple-Clarkia)?srchcr=sc61ab02a5119b0"
Heterotheca sessiliflora,Common Names: Sessileflower False Goldenaster,"Perennial herb, Annual herb",2 - 4 ft tall,,"3.4"" - 69.7""","0.16"" - 2.69""","Full Sun,  Part Shade",Very Low,Usually found in sand but tolerates garden soil," 23.0"" - 59.4"""," 43.0"" - 88.2""",,"0.02"" - 39.27""","0"" - 12461""","Groundcovers, Butterfly Gardens, Bee Gardens",Yellow,,1211,https://inaturalist-open-data.s3.amazonaws.com/photos/43655859/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Heterotheca-sessiliflora-(False-Goldenaster)?srchcr=sc61ab02a5119b0"
Acmispon americanus,Botanical Names: Lotus purshianus,Annual herb,1 ft tall1 ft wide,,"4.2"" - 133.4""","0.14"" - 3.85""","Full Sun,  Part Shade","Low, Moderate - High",Adaptable. Soil PH: 5.2 - 7.6," 24.6"" - 56.6"""," 47.9"" - 84.9""",Tolerates cold to -10° F,"0.01"" - 36.74""","0"" - 10844""","Bee Gardens, Butterfly Gardens","Pink,  White",,2503,https://inaturalist-open-data.s3.amazonaws.com/photos/78383082/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Acmispon-americanus-(American-Bird\'s-foot-Trefoil)?srchcr=sc61ab02a5119b0"
Bromus carinatus,Common Names: Mountain Brome,Grass,1 - 5 ft tall1 ft wide,,"2.7"" - 148.6""","0.14"" - 5.40""","Full Sun,  Part Shade",Low,Tolerates most soil types but especially good in clay. Soil PH: 5.5 - 8.0," 10.8"" - 61.0"""," 34.1"" - 88.4""",Tolerates cold to -15° F,"0.01"" - 39.29""","-113"" - 14090""","Groundcovers, Butterfly Gardens",Yellow,Very Easy,1001,https://inaturalist-open-data.s3.amazonaws.com/photos/11796/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Bromus-carinatus-(California-Brome-Grass)?srchcr=sc61ab02a5119b0"
Ambrosia psilostachya,"Common Names: Cuman Ragweed, Perennial Ragweed",Perennial herb,3.5 - 7 ft tall1 ft wide,,"3.0"" - 93.0""","0.15"" - 3.49""",Full Sun,"Low, Moderate - High,",Adaptable. Soil PH: 5.2 - 8.2," 31.3"" - 57.4"""," 56.9"" - 89.3""",Tolerates cold to 15° F,"0.46"" - 39.89""","-190"" - 6525""",Groundcovers,Green,,8045,https://static.inaturalist.org/photos/6124830/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ambrosia-psilostachya-(Western-Ragweed)?srchcr=sc61ab02a5119b0"
Bothriochloa barbinodis,Common Names: Cane Beardgrass,Grasses,2 - 4 ft tall,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.6"" - 32.0""","0.17"" - 2.43""",Full Sun,Very Low,"Tolerates a variety of soil types  but best on calcareous, deep loams, or sandy loams."," 43.6"" - 57.2"""," 66.1"" - 84.9""",,"1.09"" - 35.74""","5"" - 4847""",,"Yellow,  White,  Red",Moderately Easy,897,https://static.inaturalist.org/photos/2561747/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Bothriochloa-barbinodis-(Cane-Bluestem)?srchcr=sc61ab02a5119b0"
Lepidospartum squamatum,"Common Names: California Broomsage, California Broomshrub, Scale-broom, Scalebroom",Shrub,6.6 ft tall,,"2.6"" - 37.7""","0.13"" - 2.39""",Full Sun,Low,Adaptable," 32.0"" - 61.5"""," 59.6"" - 90.0""",,"0.74"" - 46.84""","-121"" - 7022""",,Cream,Moderately Easy,2136,https://inaturalist-open-data.s3.amazonaws.com/photos/161153/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lepidospartum-squamatum-(Scale-Broom)?srchcr=sc61ab02a5119b0"
Salix lasiandra,Botanical Names: Salix lucida,"Tree, Shrub",3 - 30 ft tall,,"5.1"" - 113.2""","0.16"" - 3.99""",Part Shade,Moderate - High,Tolerates a variety of soils but prefers alluvial soil. Soil PH: 5.0 - 7.0," 11.1"" - 56.5"""," 34.4"" - 82.9""",Tolerates cold to -10° F,"0.01"" - 33.83""","-7"" - 14114""","Bogs and Ponds, Bird Gardens, Butterfly Gardens, Bee Gardens","White,  Yellow",,1393,https://inaturalist-open-data.s3.amazonaws.com/photos/3469320/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-lasiandra-(Shining-Willow)?srchcr=sc61ab02a5119b0"
Phacelia ramosissima,,"Annual herb, Perennial herb",1 - 4 ft tall1.5 ft wide,,"3.4"" - 76.8""","0.15"" - 3.48""",Part Shade,Low,Prefers sand or sandstone. Soil PH: 4.0 - 8.0," 23.5"" - 61.5"""," 45.8"" - 88.0""",Tolerates cold to -10° F,"0.41"" - 41.64""","-228"" - 10581""","Butterfly Gardens, Bee Gardens","Lavender,  White",Moderately Easy,1971,https://inaturalist-open-data.s3.amazonaws.com/photos/6292861/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Phacelia-ramosissima-(Branching-Phacelia)?srchcr=sc61ab02a5119b0"
Cirsium occidentale,"Common Names: Cobwebby Thistle, Western Thistle",Perennial herb,2 - 10 ft tall,,"4.0"" - 135.9""","0.13"" - 3.95""","Full Sun, Part Shade",,Adaptable," 19.6"" - 57.4"""," 41.1"" - 84.5""",,"0.36"" - 36.04""","-30"" - 11398""","Deer Resistant, Butterfly Gardens","Red,  Purple,  Pink,  White",Moderately Easy,5436,https://inaturalist-open-data.s3.amazonaws.com/photos/19374571/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cirsium-occidentale-(Cobweb-Thistle)?srchcr=sc61ab02a5119b0"
Pluchea odorata,"Common Names: Salt Marsh Fleabane, Sweetscent","Perennial herb, Annual herb",2 - 4 ft tall,,"2.5"" - 40.4""","0.15"" - 1.73""",Full Sun,Moderate - High,Adaptable," 36.8"" - 61.5"""," 64.0"" - 89.1""",,"0.76"" - 42.80""","-228"" - 4768""",,Pink,,5963,https://inaturalist-open-data.s3.amazonaws.com/photos/10633668/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pluchea-odorata-(Marsh-Fleabane)?srchcr=sc61ab02a5119b0"
Apocynum cannabinum,Common Names: Indian Hemp,Perennial herb,3.3 - 6.6 ft tall,"['USDA Zone 1: below -45.6 °C (-55 °F)', 'USDA Zone 2a: to -45.5 °C (-50 °F)', 'USDA Zone 2b: to -42.7 °C (-45 °F)', 'USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","1.9"" - 65.1""","0.15"" - 2.96""",Part Shade,Moderate - High,Prefers moist sandy or gravelly soil," 24.3"" - 61.0"""," 42.6"" - 90.4""",,"0.23"" - 48.25""","-271"" - 11144""",,"White,  Cream,  Brown",,18254,https://static.inaturalist.org/photos/106225/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Apocynum-cannabinum-(Indianhemp-Dogbane)?srchcr=sc61ab02a5119b0"
Lupinus longifolius,,Shrub,1.6 - 4.9 ft tall,"['USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","3.5"" - 46.5""","0.19"" - 2.63""","Full Sun,  Part Shade",Low,"Prefers rocky, well drained soil"," 34.1"" - 59.4"""," 58.9"" - 88.1""",,"1.09"" - 39.05""","7"" - 7727""","Bird Gardens, Bee Gardens","Purple,  Blue",Moderately Easy,138,https://inaturalist-open-data.s3.amazonaws.com/photos/39514/small.jpg?1545412377,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lupinus-longifolius-(Longleaf-Bush-Lupine)?srchcr=sc61ab02a5119b0"
Cucurbita foetidissima,Common Names: Calabazilla,"Perennial herb, Annual herb",1 ft tall,,"3.1"" - 39.2""","0.15"" - 2.55""",Full Sun,"Very Low, Low",Prefers dry sandy or coarse soil," 40.1"" - 58.9"""," 63.6"" - 88.5""",,"0.45"" - 39.66""","2"" - 5576""",Groundcovers,"Yellow,  Orange",Moderately Easy,6190,https://inaturalist-open-data.s3.amazonaws.com/photos/44844839/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cucurbita-foetidissima-(Missouri-Gourd)?srchcr=sc61ab02a5119b0"
Bloomeria crocea,Common Names: Golden Stars,Perennial herb,1 ft tall,,"6.6"" - 47.8""","0.14"" - 2.89""","Full Sun,  Part Shade",Low,Adaptable," 31.1"" - 56.9"""," 55.2"" - 80.9""",,"0.84"" - 29.14""","3"" - 8798""",,Yellow,Moderately Easy,1995,https://static.inaturalist.org/photos/38868283/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Bloomeria-crocea-(Common-Goldenstar)?srchcr=sc61ab02a5119b0"
Helenium puberulum,Common Names: Rosilla,Perennial herb,5 ft tall,,"5.9"" - 86.0""","0.15"" - 3.85""",Full Sun,Moderate - High,Prefers sand but tolerates garden soil," 10.8"" - 55.7"""," 34.1"" - 79.9""",,"0.05"" - 29.10""","-87"" - 14090""","Bogs and Ponds, Butterfly Gardens, Bee Gardens","Yellow,  Cream",,1401,https://inaturalist-open-data.s3.amazonaws.com/photos/33023967/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Helenium-puberulum-(Sneezeweed)?srchcr=sc61ab02a5119b0"
Hoita macrostachya,"Common Names: Large Leather-root, Large Leatherroot",Perennial herb,3.5 - 7 ft tall,,"9.7"" - 64.3""","0.15"" - 2.23""",Full Sun,"Low, Moderate - High",Tolerant of a variety of garden soils as long as sufficient moisture is available," 30.5"" - 56.4"""," 56.3"" - 83.1""",,"0.54"" - 33.81""","-13"" - 7069""",Deer Resistant,"Pink,  Purple",,615,https://inaturalist-open-data.s3.amazonaws.com/photos/51361217/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Hoita-macrostachya-(Leather-Root)?srchcr=sc61ab02a5119b0"
Lupinus excubitus,Common Names: Inyo Bush Lupine,Shrub,7 ft tall,"['USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.5"" - 51.3""","0.15"" - 4.38""",Full Sun,Very Low,Prefers sandy or clay loams," 24.7"" - 59.4"""," 47.9"" - 88.1""",,"0.01"" - 39.05""","-58"" - 10371""","Bird Gardens, Butterfly Gardens, Bee Gardens","Purple,  White,  Yellow,  Brown",Moderately Easy,1665,https://static.inaturalist.org/photos/17837890/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lupinus-excubitus-(Grape-Soda-Lupine)?srchcr=sc61ab02a5119b0"
Croton californicus,Common Names: Desert Croton,Perennial herb,3.3 ft tall,,"2.5"" - 46.1""","0.14"" - 2.31""",Full Sun,Low,Prefers sand or decomposed granite," 39.3"" - 62.0"""," 59.2"" - 89.5""",,"0.47"" - 47.01""","-191"" - 6808""",,Green,Moderately Easy,2247,https://inaturalist-open-data.s3.amazonaws.com/photos/48737/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Croton-californicus-(California-Croton)?srchcr=sc61ab02a5119b0"
Plantago subnuda,Common Names: Tall Coastal Plantain,Perennial herb,1.6 ft tall,,"10.4"" - 71.3""","0.15"" - 2.04""",Full Sun,"Low, Moderate - High",Adaptable," 41.2"" - 55.7"""," 58.0"" - 80.5""",,"0.33"" - 27.01""","5"" - 5471""","Deer Resistant, Butterfly Gardens",Brown,,404,https://inaturalist-open-data.s3.amazonaws.com/photos/34254/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Plantago-subnuda-(Naked-Plantain)?srchcr=sc61ab02a5119b0"
Galium angustifolium,"Common Names: Narrow-leaved Bedstraw, Narrowleaf Bedstraw",Perennial herb,,,"3.6"" - 52.5""","0.13"" - 2.99""",Full Sun,,"Prefers rocky, well drained soil"," 30.5"" - 59.2"""," 55.2"" - 87.6""",,"0.91"" - 39.13""","-62"" - 8668""",,Cream,Moderately Easy,1960,https://inaturalist-open-data.s3.amazonaws.com/photos/2163365/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Galium-angustifolium-(Narrow-Leaved-Bedstraw)?srchcr=sc61ab02a5119b0"
Lathyrus vestitus,"Common Names: Bolander's Pea, Common Pacific Pea",Perennial herb,4 ft tall,,"5.6"" - 120.7""","0.14"" - 4.19""","Full Sun,  Part Shade","Very Low, Low",Tolerates sandy or clay loam," 21.9"" - 57.6"""," 53.1"" - 86.2""",,"0.01"" - 37.09""","-65"" - 8613""",,"Pink,  White",,5474,https://inaturalist-open-data.s3.amazonaws.com/photos/2381/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lathyrus-vestitus-(Pacific-Pea)?srchcr=sc61ab02a5119b0"
Bolboschoenus maritimus,Botanical Names: Scirpus maritimusCommon Names: Cosmopolitan Bulrush,Grasses,3 ft tall,,"2.5"" - 72.2""","0.13"" - 1.96""",Full Sun,Moderate - High,Tolerates any kind of soil as long as sufficient water is present. Soil PH: 5.0 - 8.0," 31.9"" - 61.4"""," 55.9"" - 89.4""",,"0.01"" - 43.66""","-231"" - 6566""",Bogs and Ponds,Brown,,2134,https://inaturalist-open-data.s3.amazonaws.com/photos/12320174/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Bolboschoenus-maritimus-(Alkali-Bulrush)?srchcr=sc61ab02a5119b0"
